# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	808455
#@/user_id	Mac
ba jie 	八戒	c=5 d=0 t=808443
ba kong 	八孔	c=2 d=3.00604e-213 t=808443
ba le 	拔了	c=4 d=5.32347e-260 t=808443
ba le 	罷了	c=94 d=0.000424329 t=808443
ba li 	巴黎	c=1 d=3.42822e-24 t=808443
ba li shi jia 	巴黎世家	c=2 d=0 t=808443
ba ma 	爸媽	c=99 d=3.90084e-14 t=808443
ba ma ba 	爸媽吧	c=5 d=0 t=808443
ba ma bu zai jia 	爸妈不在家	c=1 d=0 t=808443
ba mai 	把脈	c=1 d=1.67809e-90 t=808443
ba na bian 	吧那邊	c=1 d=0 t=808443
ba ni 	把你	c=28 d=9.0972e-123 t=808443
ba ou 	吧偶	c=1 d=0 t=808443
ba qian 	八千	c=0 d=0 t=808443
ba qun 	拔羣	c=3 d=0 t=808443
ba shan she shui 	跋山涉水	c=1 d=0 t=808443
ba shi 	八十	c=1 d=0 t=808443
ba shi 	巴士	c=1 d=0 t=808443
ba shou 	把手	c=5 d=0 t=808443
ba si guang nian 	巴斯光年	c=2 d=3.23256e-156 t=808443
ba ta 	把他	c=7 d=1.60649e-77 t=808443
ba ta 	把她	c=1 d=0 t=808443
ba tai 	吧檯	c=1 d=0 t=808443
ba ti 	霸体	c=1 d=1.00595e-246 t=808443
ba tian hu 	霸天虎	c=5 d=0 t=808443
ba wang 	巴旺	c=2 d=1.04708e-298 t=808443
ba wang 	霸王	c=1 d=5.27481e-299 t=808443
ba wo 	把我	c=80 d=1.9224e-22 t=808443
ba wo 	把握	c=10 d=1.41992e-10 t=808443
ba wo men 	把我們	c=2 d=0 t=808443
ba wo wei xin 	把我微信	c=1 d=1.54997e-38 t=808443
ba xian 	八仙	c=2 d=0 t=808443
ba xiu 	罷休	c=2 d=2.77628e-10 t=808443
ba yue 	八月	c=1 d=0 t=808443
ba yue di 	八月底	c=1 d=0 t=808443
ba zhan 	霸佔	c=1 d=4.51201e-138 t=808443
ba zhang 	巴掌	c=1 d=2.03795e-111 t=808443
ba zhe 	八折	c=1 d=0 t=808443
ba zhe ge 	把這個	c=1 d=0.955997 t=808443
ba zhu 	吧主	c=1 d=5.86996e-292 t=808443
bai 	拜	c=2 d=0 t=808443
bai 	掰	c=4 d=1.75086e-60 t=808443
bai 	擺	c=11 d=4.14699e-28 t=808443
bai 	白	c=170 d=0.00841649 t=808443
bai 	百	c=26 d=1.02965e-79 t=808443
bai ba shi 	百八十	c=0 d=1.34181e-107 t=808443
bai ba shi zhuo 	百八十桌	c=1 d=1.34854e-106 t=808443
bai ba zi 	拜把子	c=1 d=0 t=808443
bai bai 	拜拜	c=4 d=4.84458e-63 t=808443
bai bai 	白柏	c=1 d=4.21512e-102 t=808443
bai bai nen nen 	白白嫩嫩	c=1 d=0 t=808443
bai bai pang pang 	白白胖胖	c=6 d=0 t=808443
bai bei 	敗北	c=3 d=1.20306e-117 t=808443
bai bei 	百倍	c=1 d=0 t=808443
bai bing 	百病	c=1 d=0 t=808443
bai cai 	白菜	c=5 d=1.37422e-229 t=808443
bai cao xin 	白操心	c=1 d=0 t=808443
bai chi 	白癡	c=1 d=0 t=808443
bai chi bai he 	白喫白喝	c=1 d=0 t=808443
bai du 	拜讀	c=1 d=0 t=808443
bai du 	百度	c=81 d=1.40906e-05 t=808443
bai du 	百渡	c=-1 d=0 t=808443
bai du bu qin 	百毒不侵	c=1 d=1 t=798050
bai du yun 	百度云	c=1 d=0 t=808443
bai e ling 	白鹅岭	c=0 d=0 t=808443
bai e ling nai 	白鹅岭奶	c=1 d=0 t=808443
bai er ni 	伯爾尼	c=1 d=1.30323e-292 t=808443
bai fa 	白髮	c=1 d=0 t=808443
bai fan 	白飯	c=2 d=1.22311e-134 t=808443
bai fen 	白粉	c=2 d=0 t=808443
bai fen bi 	白粉筆	c=2 d=0 t=808443
bai fen bi 	百分比	c=3 d=2.18988e-104 t=808443
bai fen zhi 	百分之	c=1 d=0 t=808443
bai fu mei 	白富美	c=2 d=7.52838e-102 t=808443
bai gan 	白乾	c=2 d=0 t=808443
bai gei 	敗給	c=1 d=5.68982e-102 t=808443
bai gong li 	百公里	c=3 d=1.90763e-140 t=808443
bai gu jing 	白骨精	c=3 d=3.86137e-12 t=808443
bai guang 	敗光	c=1 d=4.95946e-74 t=808443
bai hao 	擺好	c=1 d=0 t=808443
bai he 	白鶴	c=1 d=6.19969e-141 t=808443
bai he 	百合	c=3 d=1.26505e-140 t=808443
bai huai 	敗壞	c=1 d=0 t=808443
bai jia 	敗家	c=1 d=0 t=808443
bai jian 	擺件	c=1 d=1.67126e-42 t=808443
bai jie 	白潔	c=1 d=1.43392e-93 t=808443
bai jin 	白金	c=22 d=3.27685e-170 t=808443
bai jin cun 	白金存	c=1 d=3.29327e-169 t=808443
bai jiu 	摆酒	c=1 d=0 t=808443
bai jiu 	白酒	c=38 d=5.1347e-12 t=808443
bai jiu xi 	擺酒席	c=1 d=5.09681e-160 t=808443
bai kai 	掰開	c=0 d=0 t=808443
bai kai shui 	白開水	c=3 d=7.65654e-271 t=808443
bai kai zui 	掰開嘴	c=2 d=1.21545e-207 t=808443
bai kan 	白看	c=1 d=2.19969e-274 t=808443
bai ke 	百科	c=1 d=5.28122e-137 t=808443
bai lang 	白狼	c=2 d=2.10774e-66 t=808443
bai le 	掰了	c=1 d=4.54975e-89 t=808443
bai li 	白痢	c=2 d=1.02451e-79 t=808443
bai lian hua 	白莲华	c=1 d=2.2851e-281 t=808443
bai ling 	白領	c=2 d=3.18105e-26 t=808443
bai long 	百隆	c=4 d=0 t=808443
bai lu 	白鷺	c=1 d=1.32897e-228 t=808443
bai luo bo 	白蘿蔔	c=2 d=5.51527e-59 t=808443
bai ma 	白馬	c=3 d=4.26674e-10 t=808443
bai mi fan 	白米飯	c=1 d=0 t=808443
bai ming dan 	白名單	c=3 d=6.88064e-73 t=808443
bai nao hui 	百腦匯	c=1 d=0 t=808443
bai nian 	百年	c=1 d=0 t=808443
bai nian en lai 	百年恩来	c=1 d=4.0101e-133 t=808443
bai nu 	白奴	c=1 d=0 t=808443
bai pai 	摆拍	c=1 d=0 t=808443
bai piao 	白嫖	c=47 d=3.26502e-09 t=808443
bai qiang 	白牆	c=1 d=1 t=796995
bai qiu 	拜丘	c=1 d=0 t=808443
bai ren 	白人	c=3 d=5.87691e-159 t=808443
bai se 	白色	c=36 d=2.86749e-11 t=808443
bai sha 	白紗	c=1 d=0 t=808443
bai she 	擺設	c=2 d=1.89063e-140 t=808443
bai shi 	百事	c=10 d=4.20594e-47 t=808443
bai shi ke le 	百事可樂	c=1 d=4.27028e-196 t=808443
bai shui 	白水	c=1 d=0 t=808443
bai song 	白送	c=4 d=4.5922e-110 t=808443
bai tan 	擺攤	c=1 d=0 t=808443
bai tang 	白糖	c=3 d=1.68215e-89 t=808443
bai ti 	白體	c=0 d=0 t=808443
bai ti ni 	白體你	c=1 d=0 t=808443
bai tian 	白天	c=83 d=0.264477 t=808443
bai tiao 	白條	c=1 d=0 t=808443
bai tou 	白頭	c=2 d=1.35778e-10 t=808443
bai tou fa 	白頭髮	c=2 d=3.17459e-149 t=808443
bai tou xie lao 	白頭偕老	c=1 d=0 t=808443
bai tuo 	拜託	c=4 d=1.65988e-138 t=808443
bai tuo 	擺脫	c=2 d=0 t=808443
bai wan 	掰弯	c=1 d=0 t=808443
bai wan 	百萬	c=15 d=1.26997e-11 t=808443
